placekey,raw_visit_counts,raw_visitor_counts,visits_by_day,visits_by_each_hour,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,distance_from_home,normalized_visits_by_state_scaling,date_range_start,date_range_end,median_dwell,bucketed_dwell_times
27g-222@62j-sj2-jqf,2.0,2.0,"[0, 0, 0, 1, 0, 1, 0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0]",250173538004,{},"{""250250008031"":4}",,44.61441482838182,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,44.0,"{""<5"":0,""5-10"":0,""11-20"":0,""21-60"":2,""61-120"":0,""121-240"":0,"">240"":0}"
223-222@62j-sgg-kfz,187.0,93.0,"[21, 21, 31, 28, 37, 20, 29]","[23,25,24,26,26,29,61,70,67,67,67,56,60,59,51,32,21,22,18,10,12,17,20,22]",250173534002,"{""250173534002"":6,""250251011022"":5,""250173547002"":5,""250173838001"":4,""250173535002"":4,""090093516024"":4,""250173832003"":4,""250173539002"":4,""250214198003"":4,""250235001011"":4,""250235021021"":4,""250214135002"":4,""250173549002"":4,""250056111012"":4,""250250008024"":4}","{""250173534002"":5,""250235114003"":4,""250251205003"":4,""250173513002"":4,""250251011022"":4,""250173530001"":4,""250250509011"":4,""060590320141"":4,""250173689021"":4,""250173396006"":4,""480850316383"":4,""250010101001"":4,""250173524002"":4,""250173536004"":4}",9869.0,4171.447786453698,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,66.0,"{""<5"":8,""5-10"":45,""11-20"":19,""21-60"":18,""61-120"":11,""121-240"":21,"">240"":65}"
225-222@62j-sjs-d35,258.0,192.0,"[32, 35, 35, 40, 53, 31, 32]","[2,1,1,2,2,3,5,6,11,12,19,20,52,41,38,42,22,15,30,11,15,21,11,6]",250173546004,"{""250173549002"":8,""250173576001"":7,""250250502004"":7,""250173549003"":6,""250173689023"":5,""250250705001"":4,""250173563001"":4,""250173341001"":4,""250173506004"":4,""250214562002"":4,""250173573001"":4,""250173689021"":4,""250173422012"":4,""250173571003"":4,""250277097014"":4,""250173567023"":4,""250173574003"":4,""250173577003"":4,""250173561002"":4,""250056532031"":4,""250092509001"":4,""250173546004"":4,""250173546001"":4,""250092084004"":4,""250173701021"":4,""250092663001"":4,""250173704002"":4,""250173523002"":4,""250250203032"":4,""250173426001"":4,""250173537003"":4,""250092543011"":4,""250173701024"":4,""250173703003"":4,""330112001001"":4,""250173573002"":4,""250173501042"":4,""250173578004"":4,""250173564005"":4,""250214182001"":4,""250251004001"":4,""250173578003"":4}","{""250173546004"":7,""250173549002"":6,""250173571003"":6,""250173574003"":4,""250173574002"":4,""250173578003"":4,""250173421021"":4,""250214562002"":4,""250173123002"":4,""250173504005"":4,""250173541003"":4,""250173571004"":4,""250173424001"":4,""250173501031"":4,""250173563001"":4,""250173543003"":4,""250173155002"":4,""250173561002"":4,""250092509001"":4,""250173117001"":4,""250250914001"":4,""250214564024"":4,""250173573003"":4,""250173392006"":4,""250235117013"":4,""250173735003"":4,""250173602001"":4,""250173506004"":4,""250173703003"":4,""250173424004"":4,""250056532031"":4,""250173703004"":4,""250173572004"":4,""250250809001"":4,""250173546003"":4,""250250002021"":4,""250173336003"":4,""250173566014"":4,""250173577003"":4,""250173689021"":4,""250173124001"":4,""250092083004"":4,""250173577001"":4,""250173689023"":4}",4787.0,5755.259512861252,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,8.0,"{""<5"":9,""5-10"":157,""11-20"":35,""21-60"":31,""61-120"":16,""121-240"":4,"">240"":6}"
zzw-223@62j-sj8-4jv,154.0,72.0,"[12, 18, 22, 20, 31, 31, 20]","[10,9,9,10,7,7,8,8,10,10,18,35,41,46,47,40,34,36,36,34,35,34,23,15]",250173514032,"{""250173120001"":4,""250173363006"":4,""250173514033"":4,""250173422021"":4,""250173413003"":4,""250214044004"":4,""250173513002"":4,""250251605022"":4,""250173215002"":4,""250092084002"":4,""250092522021"":4,""250173506001"":4}","{""250173514032"":5,""250056102024"":4,""250173423002"":4,""250173120002"":4,""250173422021"":4,""250251707012"":4,""250251703001"":4,""250251706011"":4,""250250810013"":4,""250173513001"":4,""250173506001"":4}",7537.0,3435.309941785399,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,63.0,"{""<5"":2,""5-10"":28,""11-20"":10,""21-60"":32,""61-120"":35,""121-240"":12,"">240"":35}"
223-222@62j-sk2-835,21.0,19.0,"[1, 0, 0, 4, 5, 8, 3]","[2,2,3,2,1,1,1,1,2,3,4,0,0,1,2,5,2,2,3,0,1,2,2,2]",250173507001,"{""250277097013"":4,""090159051005"":4,""250173397004"":4,""250173584004"":4,""250092059001"":4}","{""250173549002"":4,""250173397002"":4,""250214223022"":4,""250173584004"":4}",8680.0,468.45135569800897,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,8.0,"{""<5"":0,""5-10"":15,""11-20"":3,""21-60"":1,""61-120"":0,""121-240"":0,"">240"":2}"
22b-223@62j-sk2-xdv,15.0,10.0,"[0, 2, 1, 2, 3, 2, 5]","[1,1,0,0,0,0,0,0,0,0,1,2,2,4,6,4,1,0,3,3,2,1,1,1]",250173509002,"{""250173578002"":4}","{""250173561002"":4,""250173514033"":4}",3427.0,334.6081112128636,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,31.0,"{""<5"":0,""5-10"":3,""11-20"":0,""21-60"":7,""61-120"":2,""121-240"":3,"">240"":0}"
22g-222@62j-sk3-brk,70.0,31.0,"[5, 17, 11, 8, 18, 7, 4]","[1,1,1,1,1,1,1,5,18,21,25,20,16,19,20,16,14,3,1,1,0,1,1,2]",250173502006,"{""250173563002"":5,""250277302002"":4,""250173371021"":4,""120210112022"":4,""250056102033"":4,""250250921011"":4,""250173501041"":4,""250250709002"":4}","{""250250403002"":6,""250250921011"":4,""250092108002"":4,""250173509001"":4,""250092104001"":4,""250173371021"":4}",8290.0,1561.504518993363,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,50.0,"{""<5"":0,""5-10"":29,""11-20"":4,""21-60"":3,""61-120"":5,""121-240"":22,"">240"":7}"
227-222@62j-sjr-z9f,3.0,3.0,"[0, 0, 0, 1, 2, 0, 0]","[0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0]",250173546003,{},"{""250173546003"":7}",,66.92162224257271,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,7.0,"{""<5"":0,""5-10"":2,""11-20"":0,""21-60"":0,""61-120"":0,""121-240"":1,"">240"":0}"
22r-222@62j-sk2-j5f,70.0,44.0,"[3, 7, 5, 10, 20, 13, 12]","[1,1,2,2,1,1,0,3,3,4,8,14,10,10,8,6,6,9,5,2,2,3,2,1]",250173510002,"{""250173549002"":7,""250092114022"":4,""250173512041"":4,""250173652014"":4,""250173507004"":4,""250173511005"":4,""250173686003"":4,""250173502006"":4,""250173561002"":4,""250173501042"":4,""250173546001"":4}","{""250173704001"":6,""250259812021"":4,""250173506004"":4,""250173528002"":4,""250173511003"":4,""250173412005"":4,""250173586004"":4,""250259813002"":4}",2339.0,1561.504518993363,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,10.0,"{""<5"":2,""5-10"":35,""11-20"":11,""21-60"":18,""61-120"":1,""121-240"":1,"">240"":2}"
224-222@62j-sj8-nt9,4.0,2.0,"[2, 1, 0, 1, 0, 0, 0]","[0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0]",250173515001,{},"{""250173171021"":4}",,89.22882965676361,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,32.0,"{""<5"":0,""5-10"":0,""11-20"":2,""21-60"":2,""61-120"":0,""121-240"":0,"">240"":0}"
