Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Trip Served,Mode,Wait Time (min),Departure Time,Arrival Time,Duration (min),Origin [lat],Origin [lon],Destination [lat],Destination [lon],Distance (m)
16439,09:07:58,false,80,65000.0,2.2222222222222223,0,package308,true,1,12.833333333333334,08:46:52,09:07:58,21.1,-71.08259,42.36490999999987,-71.10894760000001,42.37483069999987,2547.637733209713
16484,09:09:28,false,80,65000.0,2.2222222222222223,0,package375,true,1,2.6666666666666665,09:04:42,09:09:28,4.766666666666667,-71.079323,42.368529999999886,-71.08505004851979,42.369762975977544,561.2053129509519
16505,09:10:10,false,80,65000.0,2.2222222222222223,0,package355,true,1,3.7333333333333334,08:55:46,09:10:10,14.4,-71.092946,42.35911299999988,-71.08611199163238,42.37245599902493,1774.3956405154674
16537,09:11:14,false,80,65000.0,2.2222222222222223,0,package368,true,1,1.5333333333333334,08:57:34,09:11:14,13.666666666666666,-71.081655,42.37147599999988,-71.08743,42.360622999999876,1392.8175169623864
16546,09:11:32,false,80,65000.0,2.2222222222222223,0,package371,true,1,6.5,09:04:32,09:11:32,7.0,-71.12689499999999,42.39475199999989,-71.13026614637688,42.3996148613538,713.9405753430244
16547,09:11:34,false,80,65000.0,2.2222222222222223,0,package376,true,1,1.3666666666666667,09:03:24,09:11:34,8.166666666666666,-71.08209699999999,42.36439299999987,-71.0829299274303,42.37155974874347,891.312390837545
16548,09:11:36,false,80,65000.0,2.2222222222222223,0,package333,true,1,16.2,09:00:14,09:11:36,11.366666666666667,-71.118965,42.373370999999885,-71.11488169021312,42.382713165892625,1165.1838328604
16574,09:12:28,false,80,65000.0,2.2222222222222223,0,package341,true,1,5.0,08:53:02,09:12:28,19.433333333333334,-71.119126,42.37430599999989,-71.108007,42.35640899999989,2280.159374962378
16585,09:12:50,false,80,65000.0,2.2222222222222223,0,package322,true,1,6.866666666666666,08:45:54,09:12:50,26.933333333333334,-71.118965,42.373370999999885,-71.13322597774757,42.39870319684278,3223.2592405901164
16594,09:13:08,false,80,65000.0,2.2222222222222223,0,package325,true,1,8.633333333333333,08:48:40,09:13:08,24.466666666666665,-71.1114,42.36962799999989,-71.0773,42.37058199999989,2839.5528312625847
16608,09:13:36,false,80,65000.0,2.2222222222222223,0,package377,true,1,2.0,09:05:02,09:13:36,8.566666666666666,-71.118227,42.390042999999885,-71.123538,42.38267299999988,969.6916529207462
16616,09:13:52,false,80,65000.0,2.2222222222222223,0,package366,true,1,3.0,08:59:02,09:13:52,14.833333333333334,-71.08259,42.36490999999987,-71.101332,42.360992999999894,1677.64812179098
16618,09:13:56,false,80,65000.0,2.2222222222222223,0,package373,true,1,4.166666666666667,09:05:12,09:13:56,8.733333333333333,-71.110736,42.372967999999865,-71.09784300000001,42.36794699999987,1214.041675833422
16632,09:14:24,false,80,65000.0,2.2222222222222223,0,package354,true,1,2.7,08:54:44,09:14:24,19.666666666666668,-71.092946,42.35911299999988,-71.072001,42.369910999999874,2254.5250304101746
16634,09:14:28,false,80,65000.0,2.2222222222222223,0,package379,true,1,2.7,09:06:44,09:14:28,7.733333333333333,-71.118227,42.390042999999885,-71.126699,42.39458799999988,907.0672615606909
16723,09:17:26,false,80,65000.0,2.2222222222222223,0,package382,true,1,2.533333333333333,09:08:34,09:17:26,8.866666666666667,-71.11872199999999,42.37307599999987,-71.10806726300076,42.373486178118036,939.8780038569706
16727,09:17:34,false,80,65000.0,2.2222222222222223,0,package387,true,1,6.333333333333333,09:14:22,09:17:34,3.2,-71.085994,42.36021299999989,-71.08743,42.360622999999876,300.9297470193553
16736,09:17:52,false,80,65000.0,2.2222222222222223,0,package356,true,1,11.266666666666667,09:03:18,09:17:52,14.566666666666666,-71.119664,42.38804899999991,-71.134598,42.40001399999988,1841.6648517144931
16746,09:18:12,false,80,65000.0,2.2222222222222223,0,package359,true,1,6.633333333333334,08:59:40,09:18:12,18.533333333333335,-71.096565,42.360788999999876,-71.079939,42.372954999999884,2020.8401006459994
