LUDesc,Category,lon_POI,lat_POI
TWO-FAM-RES,Residential,-71.13356423535903,42.399095896758396
SNGL-FAM-RES,Residential,-71.13398253789454,42.39909065914296
THREE-FM-RES,Residential,-71.13637595852647,42.39908467541492
TWO-FAM-RES,Residential,-71.13678653148402,42.39908039535686
TWO-FAM-RES,Residential,-71.14000872079114,42.399021067810416
TWO-FAM-RES,Residential,-71.13952794290603,42.39897379590617
SNGL-FAM-RES,Residential,-71.13856409848802,42.39907758339936
TWO-FAM-RES,Residential,-71.12935391095922,42.39898595519366
TWO-FAM-RES,Residential,-71.13087546503276,42.39900516932361
SNGL-FAM-RES,Residential,-71.1349446949414,42.399027041587885
TWO-FAM-RES,Residential,-71.13547108426309,42.39902060617588
TWO-FAM-RES,Residential,-71.13584164527168,42.399018031668994
SNGL-FAM-RES,Residential,-71.13973141717219,42.39894871951054
TWO-FAM-RES,Residential,-71.12926086043076,42.39892805405841
TWO-FAM-RES,Residential,-71.13454641748599,42.39899539274465
TWO-FAM-RES,Residential,-71.13356311194585,42.398985101648854
SNGL-FAM-RES,Residential,-71.13398106132023,42.398979516560395
TWO-FAM-RES,Residential,-71.14010081342269,42.398928262974835
THREE-FM-RES,Residential,-71.13095186436033,42.39892614761345
SNGL-FAM-RES,Residential,-71.13636762706132,42.39896781740858
TWO-FAM-RES,Residential,-71.13122657770862,42.39890347683995
SNGL-FAM-RES,Residential,-71.13856551744199,42.398897344374916
THREE-FM-RES,Residential,-71.12948714600098,42.39886827880131
TWO-FAM-RES,Residential,-71.13049116133008,42.39889624976939
TWO-FAM-RES,Residential,-71.12915314681065,42.398876994886
THREE-FM-RES,Residential,-71.13299706537529,42.39893833364521
SNGL-FAM-RES,Residential,-71.13493736621248,42.39889103560587
SNGL-FAM-RES,Residential,-71.13546291895014,42.3989045989009
SNGL-FAM-RES,Residential,-71.13583311338493,42.39891504067811
TWO-FAM-RES,Residential,-71.13102855161267,42.39884632442289
TWO-FAM-RES,Residential,-71.13454433470548,42.398884622180674
THREE-FM-RES,Residential,-71.12896506079387,42.398825558713625
SNGL-FAM-RES,Residential,-71.13356093373883,42.398873460638896
THREE-FM-RES,Residential,-71.12956581156969,42.398797722722136
4-8-UNIT-APT,Residential,-71.13397443579716,42.398761463875665
