placekey,latitude,longitude,top_category,open_hours,location_name
27d-222@62j-sj3-bhq,42.381471000000005,-71.09548199999999,Other Amusement and Recreation Industries,"{ ""Mon"": [[""9:00"", ""23:00""]], ""Tue"": [[""9:00"", ""23:00""]], ""Wed"": [[""9:00"", ""23:00""]], ""Thu"": [[""9:00"", ""23:00""]], ""Fri"": [[""9:00"", ""24:00""]], ""Sat"": [[""0:00"", ""1:00""], [""9:00"", ""24:00""]], ""Sun"": [[""0:00"", ""1:00""], [""9:00"", ""23:00""]] }",JJ Productions
27g-222@62j-sjv-ju5,42.365146,-71.11276,Lessors of Real Estate,,Apartments at 12 Dodge St
zzw-222@62j-sk3-gc5,42.38176,-71.100762,Religious Organizations,,Boston Japanese Christian Church
zzw-223@62j-sj3-47q,42.362595,-71.085488,Urban Transit Systems,,Charles MGH T Stop
zzw-223@62j-sjz-6rk,42.397406,-71.122031,Offices of Dentists,"{ ""Mon"": [[""9:00"", ""18:00""]], ""Tue"": [[""9:00"", ""18:00""]], ""Wed"": [[""9:00"", ""18:00""]], ""Thu"": [[""9:00"", ""18:00""]], ""Fri"": [], ""Sat"": [[""9:00"", ""14:00""]], ""Sun"": [] }",T Station Dental Group
zzw-22j@62j-shx-k9f,42.368378,-71.07566899999999,Clothing Stores,"{ ""Mon"": [[""11:00"", ""19:00""]], ""Tue"": [[""11:00"", ""19:00""]], ""Wed"": [[""11:00"", ""19:00""]], ""Thu"": [[""11:00"", ""19:00""]], ""Fri"": [[""11:00"", ""20:00""]], ""Sat"": [[""11:00"", ""20:00""]], ""Sun"": [[""12:00"", ""18:00""]] }",H&M (Hennes & Mauritz)
zzy-222@62j-sjv-j35,42.36943,-71.110975,Personal Care Services,"{ ""Mon"": [[""10:00"", ""19:30""]], ""Tue"": [[""10:00"", ""19:30""]], ""Wed"": [[""10:00"", ""19:30""]], ""Thu"": [[""10:00"", ""19:30""]], ""Fri"": [[""10:00"", ""19:30""]], ""Sat"": [[""10:00"", ""19:30""]], ""Sun"": [[""11:00"", ""18:00""]] }",Harvard Beauty Spa
zzz-222@62j-sj2-rzf,42.363428000000006,-71.100044,"Museums, Historical Sites, and Similar Institutions",,Plaza
222-222@62j-sj2-dn5,42.360119,-71.088622,Specialty Food Stores,"{ ""Mon"": [], ""Tue"": [[""12:00"", ""18:00""]], ""Wed"": [], ""Thu"": [], ""Fri"": [], ""Sat"": [], ""Sun"": [] }",MIT Produce Stand
222-222@62j-sj8-q75,42.380302,-71.088647,"Automotive Parts, Accessories, and Tire Stores","{ ""Mon"": [[""7:30"", ""21:00""]], ""Tue"": [[""7:30"", ""21:00""]], ""Wed"": [[""7:30"", ""21:00""]], ""Thu"": [[""7:30"", ""21:00""]], ""Fri"": [[""7:30"", ""21:00""]], ""Sat"": [[""7:30"", ""21:00""]], ""Sun"": [[""7:30"", ""20:00""]] }",AutoZone
222-222@62j-sj9-b49,42.394767,-71.07848,Other Amusement and Recreation Industries,,Danciana
222-223@62j-sj8-3h5,42.387165,-71.081038,Offices of Other Health Practitioners,,Advantage Spine Clinics
223-222@62j-sk2-wx5,42.388422999999996,-71.121773,Lessors of Real Estate,,Apartments at 15 Richdale Ave
223-224@62j-sjv-j5f,42.368903,-71.110873,"Museums, Historical Sites, and Similar Institutions",,Z Park Innovation Center Boston
224-222@62j-sjz-249,42.407081,-71.128455,Lessors of Real Estate,,Apartments at 189 Powder House Blvd
225-222@62j-sj2-sdv,42.363189,-71.098985,Religious Organizations,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [[""20:00"", ""21:30""]], ""Thu"": [[""5:00"", ""6:00""]], ""Fri"": [[""5:00"", ""6:00""]], ""Sat"": [[""5:00"", ""6:00""]], ""Sun"": [[""14:00"", ""15:00""]] }",Korean Methodist Church Of Boston
226-222@62j-sk3-q75,42.395371999999995,-71.105694,Lessors of Real Estate,,Apartments at 11 Nashua St
227-222@62j-sj2-m8v,42.373331,-71.102246,Lessors of Real Estate,,Apartments at 66 Fayette St
227-222@62j-sk3-dy9,42.382527,-71.097084,Lessors of Real Estate,,Apartments at 19 Wesley Park
228-222@62j-sj2-k4v,42.374851,-71.104384,Health and Personal Care Stores,,Cambridge Health Alliance Outpatient Pharmacy
228-222@62j-sj3-9mk,42.373806,-71.10007399999999,"Promoters of Performing Arts, Sports, and Similar Events",,The Lilypad
228-222@62j-sj8-hwk,42.3869,-71.092803,Lessors of Real Estate,,Apartments at 105 Walnut St
229-222@62j-sj2-hh5,42.369975,-71.102064,Other Amusement and Recreation Industries,"{ ""Mon"": [[""7:00"", ""22:00""]], ""Tue"": [[""7:00"", ""22:00""]], ""Wed"": [[""7:00"", ""22:00""]], ""Thu"": [[""7:00"", ""22:00""]], ""Fri"": [[""7:00"", ""22:00""]], ""Sat"": [[""7:00"", ""22:00""]], ""Sun"": [[""7:00"", ""22:00""]] }",Cambridge Insight Meditation Center
229-222@62j-sjv-975,42.374047,-71.121837,Clothing Stores,"{ ""Mon"": [[""10:00"", ""19:00""]], ""Tue"": [[""10:00"", ""19:00""]], ""Wed"": [[""10:00"", ""19:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""19:00""]], ""Sat"": [[""10:00"", ""19:00""]], ""Sun"": [[""11:00"", ""18:00""]] }",Anthropologie
22b-222@62j-sk3-4y9,42.386863,-71.116913,Lessors of Real Estate,,Apartments at 57 Roseland St
22d-222@62j-sk2-wff,42.391739,-71.12553199999999,Lessors of Real Estate,,Apartments at 29 Pemberton St
22f-223@62j-sk2-h89,42.384935999999996,-71.10605799999999,Offices of Physicians,,CHA Union Square Family Health
22g-222@62j-sjs-tgk,42.389990999999995,-71.133657,Lessors of Real Estate,,Condos at 17 Bellis Cir
22j-222@62j-sjy-ckf,42.377907,-71.151928,Lessors of Real Estate,,Apartments at 109 Cushing St
22k-222@62j-sj8-pn5,42.382219,-71.09168100000001,Lessors of Real Estate,,Townhouses at 41 Boston St
