placekey,latitude,longitude,top_category,open_hours,location_name
24j-223@62j-sj2-vs5,42.371947999999996,-71.085774,Restaurants and Other Eating Places,"{ ""Mon"": [], ""Tue"": [[""11:00"", ""22:00""]], ""Wed"": [[""11:00"", ""22:00""]], ""Thu"": [[""11:00"", ""22:00""]], ""Fri"": [[""11:00"", ""22:00""]], ""Sat"": [[""11:00"", ""22:00""]], ""Sun"": [[""11:00"", ""22:00""]] }",9Zaab
259-222@62j-sjv-fj9,42.366079,-71.113984,Lessors of Real Estate,,Condos at 32 Elmer St
25h-222@62j-sk2-p7q,42.377946,-71.107261,Restaurants and Other Eating Places,"{ ""Mon"": [[""7:00"", ""17:00""]], ""Tue"": [[""7:00"", ""17:00""]], ""Wed"": [[""7:00"", ""17:00""]], ""Thu"": [[""7:00"", ""17:00""]], ""Fri"": [[""7:00"", ""17:00""]], ""Sat"": [[""8:00"", ""17:00""]], ""Sun"": [[""8:00"", ""17:00""]] }",Broadsheet Coffee Roasters
zzw-222@62j-sj2-c3q,42.361788,-71.09729200000001,"Sporting Goods, Hobby, and Musical Instrument Stores",,Cambridge Bicycle
zzw-222@62j-sj2-t35,42.365857,-71.103945,Printing and Related Support Activities,,Cambridge Transcriptions
zzw-222@62j-sj3-7qz,42.37746,-71.095564,,,Webster Auto Sales
zzy-222@62j-sgg-kfz,42.360973,-71.115263,Lessors of Real Estate,,Apartments at 814 Memorial Dr
zzy-223@62j-sj2-qvf,42.361515000000004,-71.107936,"Museums, Historical Sites, and Similar Institutions",,Dana Park
223-222@62j-sgg-fs5,42.357240000000004,-71.11421700000001,Electronics and Appliance Stores,,Micro Center
223-224@62j-sj2-hh5,42.370053000000006,-71.102335,Offices of Other Health Practitioners,"{ ""Mon"": [[""7:00"", ""18:00""]], ""Tue"": [[""7:00"", ""14:00""]], ""Wed"": [[""7:00"", ""14:00""]], ""Thu"": [[""7:00"", ""20:00""]], ""Fri"": [[""7:00"", ""14:00""]], ""Sat"": [], ""Sun"": [] }",Abram Ojure Lic Ac MAOM Dipl OM
225-222@62j-sgg-fpv,42.358653000000004,-71.11510799999999,Restaurants and Other Eating Places,,Bisuteki Japanese Steak House
226-224@62j-sjv-99f,42.373449,-71.121332,Depository Credit Intermediation,"{ ""Mon"": [[""9:00"", ""16:00""]], ""Tue"": [[""9:00"", ""16:00""]], ""Wed"": [[""9:00"", ""16:00""]], ""Thu"": [[""9:00"", ""16:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [[""9:00"", ""12:00""]], ""Sun"": [] }",Eastern Bank
228-223@62j-sjv-9zz,42.372027,-71.120423,Restaurants and Other Eating Places,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [], ""Thu"": [], ""Fri"": [[""13:00"", ""24:00""]], ""Sat"": [[""11:00"", ""24:00""]], ""Sun"": [[""11:00"", ""23:00""]] }",Amorino Gelato
22d-222@62j-sj2-wp9,42.373857,-71.088854,Lessors of Real Estate,,Apartments at 6 Bedford St
22h-222@62j-sjv-j7q,42.370047,-71.112454,Lessors of Real Estate,,The University
22s-222@62j-sj2-6p9,42.37232,-71.093294,Lessors of Real Estate,,Apartments at 472 Windsor St
22x-222@62j-sj2-j35,42.370717,-71.111366,Lessors of Real Estate,,Apartments at 21 Ellery St
22x-222@62j-sj2-rkz,42.365378,-71.103184,Other Miscellaneous Store Retailers,"{ ""Mon"": [[""10:00"", ""19:00""]], ""Tue"": [[""10:00"", ""19:00""]], ""Wed"": [[""10:00"", ""19:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""19:00""]], ""Sat"": [[""10:00"", ""19:00""]], ""Sun"": [[""10:00"", ""18:00""]] }",Blick Art Materials
22z-222@62j-sk2-rx5,42.379496,-71.10446999999999,Lessors of Real Estate,,Apartments at 65 Dane St
23g-222@62j-sj2-k9f,42.374596000000004,-71.10554300000001,Offices of Other Health Practitioners,,Cambridge Acupuncture Association
23n-222@62j-sj3-9pv,42.375052000000004,-71.09863,Lessors of Real Estate,,Condos at 29 Houghton St
23t-222@62j-sgg-k75,42.357902,-71.107196,Lessors of Real Estate,,Apartments at 250 Brookline St
246-222@62j-sjv-hyv,42.365505999999996,-71.115667,Lessors of Real Estate,,Harvard University Housing
247-222@62j-sj2-ht9,42.372128000000004,-71.109942,Lessors of Real Estate,,Apartments at 54 Ellery St
24k-222@62j-sj2-4d9,42.369890000000005,-71.094574,Lessors of Real Estate,,Apartments at 353 Windsor St
25m-222@62j-sj2-4gk,42.368663,-71.09389399999999,Lessors of Real Estate,,Townhouses at 36 Portsmouth St
zzw-222@62j-sj2-qvf,42.361624,-71.108639,Lessors of Real Estate,,Apartments at 73 Magazine St
zzw-223@62j-sj2-rzf,42.364631,-71.099413,Lessors of Real Estate,,Apartments at 41 Columbia St
zzw-224@62j-sj3-7qz,42.377308,-71.095915,Automotive Repair and Maintenance,"{ ""Mon"": [[""8:00"", ""18:00""]], ""Tue"": [[""8:00"", ""18:00""]], ""Wed"": [[""8:00"", ""18:00""]], ""Thu"": [[""8:00"", ""18:00""]], ""Fri"": [[""8:00"", ""18:00""]], ""Sat"": [[""8:00"", ""15:00""]], ""Sun"": [] }",Dm Auto Services
