,Agent,Activity,Message,Package Number,Latitude,Longitude
28,autonomousBike42,Charge,Charged at chargingStation[34],34,,
29,autonomousBike44,Delivery,Usedpackage[2938],2938,-71.1107227740522,42.3556392119195
30,autonomousBike48,Delivery,Usedpackage[3581],3581,-71.14989083054971,42.377207003912766
31,autonomousBike52,Delivery,Usedpackage[3967],3967,-71.090546,42.36188899999986
32,autonomousBike53,Delivery,Usedpackage[3252],3252,-71.07327511953629,42.36991780876925
33,autonomousBike54,Delivery,Usedpackage[3050],3050,-71.14322806070089,42.37876097356796
34,autonomousBike57,Delivery,Usedpackage[3985],3985,-71.100137,42.362182999999874
35,autonomousBike58,Delivery,Usedpackage[3525],3525,-71.14891800000001,42.37575699999988
36,autonomousBike59,Delivery,Usedpackage[3470],3470,-71.13129049124917,42.3811216106226
37,autonomousBike60,Delivery,Usedpackage[3917],3917,-71.09384525746042,42.35731286087455
38,autonomousBike70,Delivery,Usedpackage[3273],3273,-71.13571321005296,42.38317918939106
39,autonomousBike71,Delivery,Usedpackage[3325],3325,-71.075453,42.37080099999989
